name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
2529,2015,3.95,36000,4,0,1,0
2522,2013,5.5,72000,4,0,1,0
2521,2004,1.5,135154,4,0,0,0
2522,2010,5.25,80000,4,0,0,0
2532,2012,14.5,89000,1,0,0,0
2522,2016,14.73,23000,1,0,1,0
2530,2015,4.75,40000,1,0,1,0
2537,2017,23.0,15000,1,0,0,0
2537,2015,12.5,38000,1,0,1,0
2537,2005,3.49,197176,1,0,1,0
2518,2006,2.5,142000,4,1,0,2
2522,2012,5.9,56000,4,0,1,0
2531,2013,3.45,47000,4,0,1,0
2529,2014,4.75,40000,4,0,1,0
2522,2009,3.8,62000,4,0,1,0
2537,2005,3.51,75000,4,0,1,0
2532,2015,23.0,40000,1,0,0,0
2522,2008,4.0,89000,4,0,0,0
2522,2012,5.85,72000,4,0,1,0
2537,2016,20.75,29000,1,0,0,0
2522,2017,17.0,8700,4,0,1,0
2522,2013,7.05,45000,4,0,1,0
2532,2010,9.65,50024,1,0,1,0
1931,2016,1.75,3000,4,1,1,0
2413,2017,1.7,1400,4,1,1,0
1015,2017,1.65,4000,4,1,1,0
86,2017,1.45,1200,4,1,1,0
1928,2017,1.35,4100,4,1,1,0
1016,2015,1.35,21700,4,1,1,0
619,2014,1.35,16500,4,1,1,1
1930,2013,1.25,15000,4,1,1,0
1930,2016,1.2,18000,4,1,1,0
1928,2017,1.2,11000,4,1,1,0
1015,2016,1.2,6000,4,1,1,0
1930,2016,1.15,8700,4,1,1,0
1014,2014,1.15,7000,4,1,1,0
1132,2016,1.15,35000,4,1,1,0
1928,2015,1.11,17500,4,1,1,0
1928,2013,1.1,33000,4,1,1,0
1931,2015,1.1,14000,4,1,1,0
1928,2015,1.1,26000,4,1,1,0
1931,2013,1.05,5400,4,1,1,0
92,2016,1.05,5700,4,1,1,0
1930,2011,1.05,6900,4,1,1,0
1927,2016,1.05,6000,4,1,1,0
1928,2013,1.0,46500,4,1,1,0
1929,2012,0.95,11500,4,1,1,0
1929,2009,0.9,40000,4,1,1,0
81,2017,0.9,1300,4,1,1,0
79,2016,0.75,7000,4,1,1,0
502,2017,0.8,3000,4,1,1,0
2511,2017,0.78,5000,4,1,1,0
502,2017,0.75,11000,4,1,1,0
2509,2015,0.75,18000,4,1,1,0
81,2017,0.75,3500,4,1,1,0
81,2016,0.72,500,4,1,1,0
2000,2017,0.65,11800,4,1,1,0
89,2015,0.65,5000,4,1,1,0
431,2013,0.65,16000,4,1,1,0
502,2016,0.6,15000,4,1,1,0
82,2015,0.6,16600,4,1,1,0
506,2013,0.6,32000,4,1,1,0
80,2016,0.6,20000,4,1,1,0
2508,2015,0.6,29000,4,1,1,0
2508,2016,0.6,25000,4,1,1,0
87,2014,0.6,25000,4,1,1,0
2000,2012,0.6,19000,4,1,1,0
431,2014,0.55,15000,4,1,1,0
2511,2015,0.55,58000,4,1,1,0
90,2010,0.52,45000,4,1,1,0
90,2016,0.51,24000,4,1,1,0
2001,2011,0.5,6000,4,1,1,0
437,2016,0.5,31000,4,1,1,0
91,2012,0.5,13000,4,1,1,0
91,2013,0.5,45000,4,1,1,0
2512,2014,0.5,8000,4,1,1,0
449,2017,0.48,4300,4,1,0,0
2003,2017,0.48,15000,4,1,1,0
2511,2015,0.48,23000,4,1,1,0
584,2017,0.48,8600,4,1,1,0
449,2017,0.45,4000,4,1,0,0
83,2011,0.45,24000,4,1,1,0
2001,2014,0.45,23000,4,1,1,0
91,2012,0.45,14500,4,1,1,0
82,2010,0.45,27000,4,1,1,0
439,2016,0.45,14000,4,1,1,0
0,2016,0.45,500,4,1,0,0
436,2016,0.45,1000,4,1,1,0
2000,2014,0.42,42000,4,1,1,0
504,2013,0.42,12000,4,1,1,0
439,2015,0.4,14000,4,1,1,0
2510,2012,0.4,5500,4,1,1,0
436,2015,0.4,6700,4,1,1,0
88,2014,0.4,13700,4,1,1,0
1,2017,0.4,1300,4,1,0,0
433,2011,0.38,75000,4,1,1,0
606,2011,0.35,30000,4,1,1,0
448,2016,0.35,24000,4,1,0,0
2002,2014,0.35,19000,4,1,0,0
606,2010,0.31,213000,4,1,1,0
434,2012,0.3,60000,4,1,1,0
438,2016,0.3,50000,4,1,1,0
503,2013,0.3,30000,4,1,1,0
84,2013,0.27,21000,4,1,1,0
89,2008,0.25,26000,4,1,1,1
1999,2008,0.25,1900,4,1,0,0
505,2013,0.25,32000,4,1,1,0
432,2013,0.25,18000,4,1,1,0
440,2005,0.2,55000,4,1,1,0
89,2008,0.2,60000,4,1,1,0
85,2012,0.2,25000,4,1,1,1
435,2007,0.2,49000,4,1,1,1
430,2013,0.2,24000,4,1,1,1
429,2008,0.2,50000,4,1,1,0
78,2015,0.18,35000,4,1,1,0
0,2008,0.17,500000,4,1,0,0
505,2010,0.16,33000,4,1,1,0
85,2011,0.15,35000,4,1,1,1
503,2007,0.12,53000,4,1,1,0
89,2006,0.1,92233,4,1,1,0
2535,2010,3.25,58000,1,0,1,1
2533,2015,4.4,28200,4,0,1,0
2534,2011,2.95,53460,4,0,1,0
2526,2015,2.75,28282,4,0,1,0
2533,2016,5.25,3493,4,0,1,1
2547,2017,5.75,12479,4,0,1,0
2535,2017,7.9,3435,4,0,1,0
2534,2012,3.1,35775,4,0,1,0
2525,2015,11.75,43535,1,0,1,0
2523,2016,11.25,22671,4,0,1,0
2535,2011,2.9,31604,4,0,1,0
2533,2017,5.25,20114,4,0,1,0
2544,2012,4.5,36100,4,0,1,0
2526,2016,3.15,15000,4,0,1,0
2544,2014,6.45,45078,4,0,1,0
2544,2012,4.5,36000,4,0,1,0
2526,2017,3.5,38488,4,0,1,0
2535,2014,6.0,77632,1,0,1,0
2544,2015,8.25,61381,1,0,1,0
2544,2013,5.11,36198,4,0,0,0
2533,2015,5.25,24678,4,0,1,0
2534,2011,2.55,57000,4,0,1,0
2544,2012,4.95,60000,1,0,1,0
2535,2012,3.1,52132,1,0,1,0
2544,2013,6.15,45000,1,0,1,0
2544,2017,9.25,15001,4,0,1,0
2525,2015,11.45,12900,4,0,0,0
2533,2013,3.9,53000,1,0,1,0
2533,2015,5.5,4492,4,0,1,0
2544,2017,9.1,15141,4,0,1,0
2526,2016,3.1,11849,4,0,1,0
2523,2015,11.25,68000,1,0,1,0
2544,2013,4.8,60241,4,0,1,0
2526,2012,2.0,23709,4,0,1,0
2544,2012,5.35,32322,1,0,1,0
2535,2016,6.25,7000,4,0,1,0
2544,2013,5.95,49000,1,0,1,0
2544,2012,5.2,71000,1,0,1,0
2535,2012,3.75,35000,4,0,1,0
2544,2015,5.95,36000,4,0,1,0
2535,2016,5.25,17000,4,0,1,0
2523,2016,12.9,35934,1,0,1,0
2517,2015,5.4,31427,4,0,0,0
2520,2014,7.2,48000,1,0,1,0
2520,2013,5.25,54242,4,0,1,0
2517,2012,3.0,53675,4,0,1,0
2520,2016,10.25,49562,4,0,1,0
2520,2015,8.5,40324,4,0,1,0
2520,2015,8.4,25000,4,0,1,0
2515,2014,3.9,36054,4,0,1,0
2520,2016,9.15,29223,4,0,1,0
2517,2016,5.5,5600,4,0,1,0
2515,2015,4.0,40023,4,0,1,0
2538,2016,6.6,16002,4,0,1,0
2538,2017,6.5,21200,4,0,1,0
2515,2014,3.65,35000,4,0,1,0
2520,2016,8.35,19434,1,0,1,0
2517,2017,4.8,19000,4,0,1,0
2520,2015,6.7,18828,4,0,1,0
2520,2011,4.1,69341,4,0,1,0
2520,2009,3.0,69562,4,0,1,0
2520,2015,7.5,27600,4,0,1,0
2538,2010,2.25,61203,4,0,1,0
2520,2016,10.9,30753,4,0,0,0
2520,2015,8.65,24800,4,0,1,0
2520,2015,9.7,21780,4,0,1,0
2520,2014,6.25,40126,4,0,1,0
2517,2015,5.25,14465,4,0,1,0
2520,2006,2.1,50456,4,0,1,0
2520,2014,8.25,63000,1,0,1,0
2520,2016,8.99,9010,4,0,1,0
2517,2013,3.5,9800,4,0,1,0
2538,2016,7.4,15059,4,0,0,0
2538,2016,5.65,28569,4,0,1,0
2515,2015,5.75,44000,4,0,0,0
2520,2015,8.4,34000,4,0,1,0
2520,2016,10.11,10980,4,0,1,0
2515,2014,4.5,19000,4,0,1,0
2517,2015,5.4,31427,4,0,1,0
2538,2016,6.4,12000,4,0,1,0
2520,2010,3.25,38000,4,0,1,0
2515,2014,3.75,33019,4,0,1,0
2520,2015,8.55,60076,1,0,1,0
2520,2016,9.5,33988,1,0,1,0
2517,2015,4.0,60000,4,0,1,0
2520,2009,3.35,87934,4,0,1,0
2520,2017,11.5,9000,1,0,1,0
2517,2016,5.3,5464,4,0,1,0
1610,2014,450000.0,145500,1,1,1,3
1967,2014,370000.0,120000,1,1,1,5
530,2006,158000.0,140000,4,1,1,7
987,2010,225000.0,127000,1,1,1,3
1653,2007,130000.0,120000,4,1,1,3
894,2017,440000.0,45000,4,1,1,3
1706,2007,96000.0,175000,3,1,1,3
1316,2001,45000.0,5000,4,1,1,5
2326,2011,350000.0,90000,1,1,1,3
390,2013,200000.0,169000,1,1,1,3
1863,2014,500000.0,68000,1,1,1,5
1749,2005,92000.0,100000,4,1,1,5
1612,2009,280000.0,140000,1,1,1,5
1579,2007,200000.0,80000,4,1,1,5
1708,2009,180000.0,90000,4,1,1,5
1120,2016,400000.0,40000,4,1,1,3
1470,2016,778000.0,70000,1,1,1,5
931,2012,500000.0,53000,1,1,1,5
940,2016,680000.0,100000,1,1,1,3
1245,2011,174000.0,100000,1,1,1,5
616,2017,950000.0,50000,1,1,1,3
1620,2015,525000.0,40000,1,1,1,3
2252,2018,500000.0,35000,4,1,1,3
1375,2016,575000.0,45000,4,1,1,3
1334,2017,275000.0,28000,4,1,1,3
130,2013,300000.0,70000,1,1,1,3
1708,2009,220000.0,120000,4,1,1,3
1525,2018,254999.0,25000,4,1,1,3
1675,2017,670000.0,70000,1,1,1,3
249,2003,70000.0,50000,4,1,1,5
1521,2012,150000.0,35000,4,1,1,5
920,2018,730000.0,2388,4,1,1,3
1674,2017,650000.0,16200,1,1,1,3
1331,2019,330000.0,10000,0,1,1,5
1357,2019,366000.0,15000,4,1,1,3
870,2019,1149000.0,5000,4,1,1,3
193,2016,150000.0,42000,4,1,1,3
2187,2011,425000.0,60000,1,1,1,5
1320,2012,150000.0,76000,4,1,1,3
1003,2019,2100000.0,5000,4,1,0,3
559,2018,925000.0,28900,4,0,1,3
538,2013,425000.0,86300,4,0,1,3
1618,2018,675000.0,23300,4,0,0,3
1676,2018,819999.0,32600,1,0,1,3
1354,2018,390000.0,10300,4,0,1,3
2340,2014,1500000.0,77000,1,0,1,3
2356,2013,700000.0,99000,1,0,1,3
1759,2014,1450000.0,27800,1,0,0,5
464,2015,425000.0,49800,1,0,1,3
544,2015,600000.0,54700,1,0,1,3
1443,2018,850000.0,64000,4,0,1,3
2400,2016,1650000.0,127700,1,0,0,5
22,2013,1750000.0,33900,1,0,0,5
2286,2018,1590000.0,25000,4,0,0,3
20,2013,1689999.0,50000,1,0,0,3
1792,2013,1425000.0,59000,1,0,0,3
2137,2011,265000.0,120000,1,1,1,3
905,2011,190000.0,110000,4,1,1,7
967,2013,425000.0,60000,1,1,1,3
1620,2015,630000.0,147000,1,1,1,5
363,2017,600000.0,25000,4,1,1,7
1375,2019,650000.0,30000,4,1,1,3
2424,2016,540000.0,40000,1,1,1,3
547,2015,630000.0,135000,1,1,1,3
1686,2018,448000.0,30000,4,1,0,3
2421,2017,500000.0,80000,1,1,1,3
1676,2016,745000.0,70000,1,1,1,3
1682,2019,1025000.0,9850,1,1,0,3
905,2011,235000.0,60000,4,1,1,5
1645,2016,630000.0,70000,1,1,1,3
2340,2015,1700000.0,78000,1,1,1,5
1641,2013,450000.0,120000,1,1,1,5
1483,2012,450000.0,120000,4,1,1,5
2025,2003,50000.0,70000,1,1,1,3
2488,2013,450000.0,170000,1,1,1,3
2377,2016,1200000.0,140000,1,1,1,3
287,2015,610000.0,90000,1,1,1,3
71,2016,2500000.0,30000,4,1,0,5
1409,2017,484999.0,10000,4,0,1,3
191,2016,275000.0,49000,4,0,1,3
1343,2016,315000.0,32000,4,0,1,3
1337,2016,275000.0,38000,4,0,1,3
1521,2017,280000.0,32000,4,0,1,3
2451,2015,455000.0,42000,4,0,1,3
908,2015,351000.0,45000,4,0,1,5
2494,2012,535000.0,12000,4,0,1,5
1743,2009,175000.0,55500,4,0,1,3
972,2013,525000.0,61500,4,0,1,3
1600,2016,600000.0,150000,1,1,1,3
892,2016,565000.0,72000,4,0,0,3
930,2017,725000.0,110000,1,1,1,3
1715,2009,185000.0,77000,4,0,1,5
2122,2010,200000.0,100000,1,1,1,5
1651,2019,615000.0,10000,4,1,1,3
1452,2016,270000.0,100000,4,1,1,7
1386,2018,610000.0,35000,4,1,1,3
1217,2014,625000.0,70000,1,1,0,5
408,2020,400000.0,5000,4,1,1,5
869,2017,866000.0,37800,4,1,1,3
2444,2010,700000.0,114000,4,1,1,3
2062,2010,300000.0,48000,4,1,1,3
1271,2019,1700000.0,32000,1,1,1,3
2089,2016,375000.0,100000,1,1,1,3
829,2013,522000.0,150000,1,1,1,5
980,2013,451999.0,69000,1,1,1,3
2292,2009,300000.0,100000,4,1,1,5
1395,2020,475000.0,13000,4,1,1,3
1684,2016,780000.0,60000,1,1,1,3
1613,2017,595000.0,40000,4,1,1,3
1721,2017,440000.0,35000,4,1,1,3
1643,2010,300000.0,120000,1,1,1,5
1848,2014,400000.0,70000,1,1,1,7
642,2016,1140000.0,50000,1,1,1,3
274,2017,850000.0,76139,1,1,1,3
1612,2012,370000.0,175000,1,1,1,4
1888,2018,350000.0,25000,4,1,1,3
1395,2015,360000.0,40000,4,1,1,5
1362,2008,105000.0,65000,4,1,1,4
1473,2013,625000.0,90000,1,1,1,5
781,2009,135000.0,80000,4,1,1,5
1473,2015,700000.0,110000,1,1,1,5
470,2019,690000.0,1303,4,0,1,3
36,2018,3975000.0,31800,1,0,0,3
1028,2019,5150000.0,20000,4,0,0,3
996,2017,3200000.0,45000,1,0,0,3
1013,2017,4100000.0,17000,4,1,0,3
1023,2019,4500000.0,21000,1,0,0,3
1803,2017,6000000.0,37000,1,0,0,3
65,2017,2150000.0,27000,1,0,0,3
73,2019,5800000.0,7500,1,0,0,3
1997,2018,1864999.0,50000,4,0,0,3
1775,2016,2700000.0,35000,1,0,0,3
1029,2019,1750000.0,19000,4,0,0,3
567,2017,795000.0,41000,4,0,0,3
2281,2013,625000.0,39000,4,0,0,3
2503,2018,3400000.0,22000,1,0,0,3
40,2015,2650000.0,53000,1,0,0,3
1437,2015,535000.0,40000,1,0,1,3
1803,2017,5850000.0,47000,1,0,0,3
57,2010,975000.0,72200,4,0,0,5
683,2016,805000.0,49900,4,0,1,3
995,2017,2625000.0,9000,1,0,0,3
2176,2018,811000.0,11000,4,0,1,3
2494,2011,375000.0,49000,4,1,1,3
684,2012,550000.0,95000,4,1,1,3
1974,2016,645000.0,11000,4,0,0,3
1483,2014,599000.0,46100,4,0,1,3
1794,2017,2700000.0,16000,4,0,0,3
537,2017,875000.0,18000,4,0,0,3
2343,2019,894999.0,9654,4,0,0,3
1354,2011,175000.0,11000,4,0,1,3
1651,2012,340000.0,24300,4,0,1,3
2400,2016,1525000.0,42163,1,0,0,5
2185,2018,1025000.0,8000,1,0,0,3
45,2016,2150000.0,30000,1,0,0,3
2273,2016,1900000.0,41000,4,0,0,3
54,2016,2900000.0,12000,1,0,0,3
2278,2009,450000.0,71000,4,0,0,3
1464,2016,850000.0,20000,4,1,1,3
2507,2017,10000000.0,30000,4,1,0,3
2488,2011,300000.0,100000,1,1,1,5
378,2018,575000.0,9500,4,1,1,3
393,2011,160000.0,120000,1,1,1,3
1657,2015,515000.0,36600,4,1,1,3
1686,2015,390000.0,50000,4,1,0,5
1320,1999,40000.0,40000,4,1,1,5
1538,2010,220000.0,120000,1,1,1,3
735,2015,425000.0,70000,4,1,1,3
1613,2014,487000.0,35000,4,1,1,3
888,2016,386000.0,44000,4,1,1,5
517,2005,100000.0,120000,4,1,1,5
2289,2010,300000.0,60000,1,1,1,3
186,2000,100000.0,60000,4,1,1,3
2338,2014,1750000.0,30000,1,1,1,5
1119,2016,450000.0,15000,4,1,1,5
2264,2017,490000.0,90000,1,1,1,3
522,2009,345000.0,47000,4,1,1,5
1752,2005,85000.0,90000,4,1,1,3
1722,2010,215000.0,120600,4,1,1,5
865,2010,320000.0,100000,4,1,1,7
1613,2016,459999.0,60000,4,1,1,5
710,2005,65000.0,86000,4,1,1,3
699,2020,720000.0,5000,4,1,1,3
1413,2017,800000.0,37000,1,1,1,3
2249,2019,520000.0,14000,4,1,1,3
1473,2015,580000.0,70000,1,1,1,3
2308,2012,235000.0,120000,1,1,1,3
556,2015,600000.0,50000,4,1,1,3
498,2014,290000.0,60000,4,1,1,5
1703,2016,360000.0,50000,0,1,1,3
1613,2017,550000.0,50000,4,1,1,3
984,2013,375000.0,70000,4,1,1,3
1524,2003,40000.0,90000,4,1,1,5
1686,2018,420000.0,35000,4,1,0,3
1614,2017,550000.0,20000,4,1,1,3
1334,2018,270000.0,20000,4,1,1,3
1594,2018,700000.0,7800,4,1,0,3
1657,2017,500000.0,20000,4,1,1,3
977,2013,320000.0,31377,4,1,1,5
1610,2018,700000.0,50000,1,1,1,3
1721,2015,290000.0,60000,4,1,1,3
2285,2012,550000.0,100000,4,1,0,3
498,2012,265000.0,60000,4,1,1,3
1371,2018,830000.0,5000,4,1,0,3
2188,2017,800000.0,60000,1,1,1,3
1362,2011,160000.0,25000,4,1,1,5
1904,2018,335000.0,30000,4,1,1,3
207,2017,329000.0,80000,4,1,1,5
1678,2017,775000.0,75000,1,1,1,3
897,2020,524000.0,32000,4,1,1,3
1334,2015,245000.0,40000,4,1,1,3
925,2012,275000.0,93000,4,1,1,5
2269,2018,520000.0,60000,4,1,1,3
1579,2008,130000.0,120000,4,1,1,5
279,2018,910000.0,15000,4,1,1,3
1824,2015,300000.0,80000,4,1,1,3
1709,2016,350000.0,140000,4,1,1,3
1218,2013,900000.0,70000,1,1,1,3
1138,2013,300000.0,120000,1,1,1,5
1534,2010,250000.0,110000,1,1,1,5
645,2017,1100000.0,37000,1,1,1,3
1904,2016,270000.0,44000,4,1,1,3
1473,2015,640000.0,80000,1,1,1,3
1273,2015,650000.0,125000,1,1,1,3
1450,2017,409999.0,13500,4,1,1,3
781,2011,165000.0,75000,4,1,1,3
625,2007,80000.0,120000,4,1,1,5
1281,2012,535000.0,120000,1,1,1,3
1610,2013,550000.0,70000,1,1,1,3
462,2019,680000.0,15000,4,1,0,3
915,2009,200000.0,53000,4,1,1,5
1610,2014,500000.0,120000,1,1,1,5
1472,2016,1000000.0,70000,1,1,1,3
706,2008,110000.0,120000,4,1,1,5
923,2012,320000.0,100000,4,1,1,5
2025,2005,75000.0,110000,1,1,1,5
1636,2015,350000.0,100000,4,1,1,3
940,2017,800000.0,39000,1,1,1,3
1513,2017,500000.0,75000,1,1,1,3
2022,2017,1380000.0,50000,1,1,0,3
1128,2019,1300000.0,40000,1,1,1,3
820,2013,530000.0,92500,1,1,1,3
1610,2012,360000.0,158000,1,1,1,3
1603,2012,310000.0,120000,1,1,1,3
546,2015,725000.0,50000,1,1,1,5
1622,2012,340000.0,110000,1,1,1,3
880,2017,550000.0,2000,1,1,1,5
2334,2011,1150000.0,181000,1,1,1,5
2222,2016,380000.0,70000,1,1,1,3
1838,2013,350000.0,90000,4,1,0,5
692,2019,610000.0,2000,4,1,1,3
1613,2015,525000.0,20000,4,1,1,3
1236,2017,780000.0,35000,1,1,1,3
1622,2012,320000.0,193000,1,1,1,3
1575,2014,375000.0,80000,4,1,1,3
194,2019,300000.0,40000,4,1,1,3
967,2015,500000.0,70000,1,1,1,4
1174,2011,404000.0,122358,1,1,1,3
2240,2017,350000.0,120000,1,1,1,3
2269,2015,380000.0,40000,4,1,1,3
625,2008,114999.0,95200,4,1,1,7
497,2014,335000.0,33033,4,0,1,3
725,2015,465000.0,63063,4,0,0,3
2134,2012,290000.0,60000,1,1,1,3
1359,2005,110000.0,45000,4,1,1,5
2160,2011,450000.0,80000,1,1,1,7
1062,2007,210000.0,207890,1,1,1,5
1779,2018,4600000.0,7976,1,1,0,3
1525,2016,220000.0,35000,4,1,1,3
742,2017,450000.0,35000,4,1,1,3
742,2017,450000.0,35000,4,1,1,3
917,2013,290000.0,50000,4,1,0,3
1656,2016,520000.0,20000,4,1,1,3
917,2011,265000.0,20000,4,1,0,3
1651,2012,330000.0,50000,4,1,1,5
1651,2012,330000.0,50000,4,1,1,5
1053,2014,509999.0,120000,1,1,1,3
833,2014,500000.0,70000,4,1,1,3
949,2015,525000.0,50000,4,1,1,3
1385,2019,675000.0,16500,4,1,1,3
919,2010,300000.0,70000,4,1,1,3
1361,2005,90000.0,99361,4,1,1,5
1610,2017,650000.0,25000,1,1,1,3
1613,2014,409000.0,70000,4,1,1,5
1579,2010,215000.0,70000,4,1,1,5
1613,2014,400000.0,70000,4,1,1,5
108,2012,120000.0,60000,4,1,1,7
2251,2018,645000.0,10000,4,1,0,3
1320,2006,81000.0,80000,4,1,1,3
564,2017,1300000.0,30000,1,1,1,3
564,2017,1250000.0,33000,1,1,1,3
1475,2013,535000.0,90000,4,1,1,7
1855,2014,555000.0,80100,1,1,1,5
559,2014,725000.0,120000,4,1,1,3
1252,1983,300000.0,10000,1,1,1,7
2367,2013,800000.0,160000,1,1,1,5
1721,2017,409999.0,47000,4,1,1,3
636,2018,1210000.0,25000,1,1,1,3
2230,2017,400000.0,26000,4,1,1,3
715,2018,520000.0,29000,1,1,1,3
1388,2016,650000.0,50000,4,1,0,3
1669,2011,325000.0,58000,4,1,1,7
1618,2012,420000.0,120000,4,1,0,3
919,2010,254999.0,80000,4,1,1,4
1752,2003,65000.0,60000,4,1,1,4
1392,2017,351000.0,36000,4,1,1,3
2374,2007,404000.0,120000,1,1,1,7
1534,2011,185000.0,185000,1,1,1,7
1827,2011,250000.0,50000,1,1,1,3
1752,2002,60000.0,100000,4,1,1,4
833,2013,500000.0,50000,4,1,1,5
1743,2007,85000.0,80000,4,1,1,5
793,2005,85000.0,60000,4,1,1,5
1359,2005,85000.0,80000,4,1,1,4
1622,2011,265000.0,90000,1,1,1,4
1327,2010,130000.0,162000,4,1,1,5
1473,2013,480000.0,110000,1,1,1,7
1638,2008,170000.0,120000,1,1,1,7
1827,2011,275000.0,45000,1,1,1,3
1700,2005,89000.0,90000,4,1,1,5
394,2010,170000.0,90000,1,1,1,5
1255,2019,1090000.0,16500,4,0,1,3
640,2017,1100000.0,67000,1,1,0,3
1655,2018,610000.0,52000,4,0,1,3
209,2016,335000.0,40000,4,0,1,3
727,2015,434999.0,40000,4,0,1,3
2331,2018,3000000.0,35000,1,1,1,3
1902,2018,390000.0,13000,4,0,1,3
495,2012,325000.0,40000,4,0,1,3
2417,2019,640000.0,10000,4,0,1,3
1843,2012,450000.0,9000,4,0,1,3
912,2009,215000.0,60000,4,0,1,3
1872,2014,570000.0,40000,1,0,1,3
1281,2012,680000.0,93000,1,0,1,3
2373,2008,325000.0,80000,1,1,1,4
2095,2011,150000.0,50000,4,1,1,5
685,2013,690000.0,68000,4,0,0,3
1792,2013,1550000.0,25000,1,1,0,3
2148,2012,64000.0,18000,4,0,1,3
1825,2013,250000.0,120000,1,1,1,3
1700,2005,65000.0,35000,4,1,1,3
1610,2016,550000.0,60000,1,1,1,5
1904,2016,300000.0,30000,4,1,1,3
2431,2016,800000.0,70000,4,1,0,3
995,2017,2625000.0,9000,1,0,0,3
996,2017,3200000.0,45000,1,0,0,3
2188,2015,503000.0,110000,1,1,1,3
2502,2019,3800000.0,20000,1,1,0,3
2273,2016,2000000.0,68089,4,2,0,3
1700,2013,225000.0,58343,4,2,1,3
1370,2018,740000.0,38817,1,0,1,3
604,2016,550000.0,56494,4,2,1,3
2375,2013,750000.0,79328,1,2,1,5
1582,2019,650000.0,5621,4,2,0,3
2325,2017,625000.0,25538,4,2,1,3
1585,2018,600000.0,69779,4,0,0,3
715,2017,450000.0,56290,1,0,1,3
73,2019,5400000.0,7500,1,0,0,3
73,2019,5500000.0,8500,1,0,0,3
474,2019,779000.0,7032,4,2,0,3
1974,2016,645000.0,11000,4,0,0,3
2500,2018,2475000.0,2000,1,0,0,3
905,2010,150000.0,106000,4,1,1,7
2317,2012,265000.0,162000,1,1,1,7
510,2009,500000.0,120000,4,1,0,5
1610,2015,480000.0,90000,1,1,1,3
831,2014,535000.0,70000,1,1,1,7
2360,2005,250000.0,240000,1,1,1,7
1555,2012,300000.0,100000,1,1,1,5
872,2009,340000.0,214000,4,1,1,5
853,2009,340000.0,214000,1,1,1,5
1342,2016,240000.0,50000,4,1,1,3
